,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,6645.214252377253,6401.521472523514
2,5467.906486863928,5001.620680873833
3,3969.0409481967454,4448.387008666992
4,3547.6684244309026,4217.572624539866
5,3404.3621270209915,4222.29868238875
6,3293.2255598045035,4236.815635533008
7,3176.631716595949,3991.607095625794
8,3050.413483441949,3898.9429942381034
9,2931.816665389532,3779.3879908219124
10,2821.3245464538427,3760.5189294537295
11,2722.0261663357996,3696.991456892884
12,2630.8966683250856,3688.3424761688825
13,2546.711759531063,3724.228495421919
14,2462.637784743483,3757.5024892381093
15,2387.0232981558843,3758.3369921526864
16,2300.675372964158,3748.4217084495767
17,2224.493255663498,3547.761688843514
18,2157.9538117002685,3524.036343935624
19,2093.790855042952,3529.200779942633
20,2024.151030940035,3468.420410563645
21,1969.9963897185314,3487.0487959037705
22,1919.330043744461,3445.860074719179
23,1872.0735996766102,3421.347407850247
24,1828.1097271763786,3407.3035647938555
25,1775.1970139106695,3411.374543606656
26,1735.6187704480767,3450.000353248374
27,1700.8548314412435,3464.863297953189
28,1655.088429903462,3496.240269577619
29,1612.287309970531,3534.6752297669937
30,1574.7327473280784,3568.8084497544373
31,1531.7308001673714,3551.0757634986953
32,1496.25234356437,3529.741281639025
33,1465.0771552956016,3548.4171899777016
34,1430.7012157978513,3610.2895677436904
35,1401.630049795072,3594.321448835354
36,1378.7588739399782,3600.2515337027394
37,1346.2520168258036,3661.7015928249916
38,1316.9653585763454,3703.11190727382
39,1282.7712789568009,3756.776021809254
40,1254.7643675634752,3777.7032125528576
41,1223.6758051507954,3744.076141264832
42,1193.2238201967411,3727.804481617455
43,1164.6717686599768,3700.6346133889506
44,1147.0792699020274,3714.0728076453347
45,1124.6860035833652,3688.2094770450035
46,1094.546496451162,3680.2053850229504
47,1065.1145002620353,3720.171614859868
48,1039.814412763461,3735.2517950557967
49,1020.9837725386423,3739.8987048621316
50,1000.96786317106,3740.4075054335362
51,984.3805183549867,3747.2646638536917
52,960.1369923575371,3737.2643511133288
53,930.8721024664069,3756.767591994943
54,909.2411035078285,3777.2458206658225
55,894.25643568387,3797.3835480328903
56,878.6525935792575,3775.7330514667105
57,872.4331753194767,3816.4539272993516
58,847.8720464284113,3836.855600301502
59,827.852088757443,3823.2023084696057
60,822.5035065792483,3844.065876544101
61,801.3670284011358,3871.270463739784
62,791.7029016944904,3859.3431066309363
63,776.0816528376001,3888.232225010696
64,765.7371776942789,3917.9600865632583
65,752.6232811744486,3896.548695092062
66,744.7865834127088,3909.712636188396
67,725.1360783347249,3937.092307451859
68,701.9869779925567,3911.9053418983535
69,689.5928110832715,3945.6853215115743
70,692.3415350261976,3938.10517024068
71,692.9485250691138,3961.725849577524
72,683.9416232227409,3972.4353868428943
73,669.9409099291131,3982.6844205671146
74,655.7832936706915,4026.5407208563056
75,642.7541219001268,3970.854180160078
76,625.8219738127251,4036.957819522006
77,615.451772397452,4028.43648995705
78,597.8158817049941,4057.3303213767635
79,592.5996373383089,4068.588010658338
80,578.4746873052741,4043.6669798360285
81,568.0473031417587,4050.270608031634
82,558.3029367377288,4100.820166643383
83,551.2101822428459,4096.392467748771
84,554.2560279103672,4085.7832089025997
85,543.4307067202826,4130.396328240922
86,535.0794498954086,4149.655637574428
87,527.4492958560767,4125.560507968791
88,519.01128291202,4117.870237174543
89,512.4724740912444,4128.84543060562
90,506.28798885948754,4143.544925152677
91,503.29499931985157,4128.854768753052
92,497.7556266367,4084.4277246530773
93,484.93412127622435,4089.7947191034705
94,477.1874533186864,4113.4424152929805
95,472.63329347670805,4095.998725576308
96,465.4067361873432,4122.860741624554
97,461.8972908400561,4123.813717351376
98,456.2195180897585,4084.9630659158947
99,445.57932712434274,4136.240600984073
100,439.46709685453243,4109.951111404641
