,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>
epoch,train_loss,val_loss
1,7632.225468248056,8309.099453852505
2,7608.434398196329,8301.931301556264
3,7605.282440371177,8328.52284900139
4,7602.701425594135,8336.984448121555
5,7601.443336022741,8344.457584858123
6,7601.18772019435,8309.348289289659
7,7598.918252801083,8329.441316611139
8,7597.027465560431,8299.524299554887
9,7595.75699272063,8316.949354785787
10,7594.736083724493,8307.867953234869
11,7579.662592681365,8350.87280598216
12,7574.1584151145025,8335.892438563047
13,7569.796902584623,8345.172703277924
14,7563.323947358886,8339.570638020834
15,7558.337389943664,8351.751523675051
16,7553.761846574844,8349.220801857658
17,7546.943288761334,8361.536649859845
18,7543.154423623189,8352.983173505203
19,7534.714588694329,8407.85082367535
20,7528.28614350479,8409.23211788234
21,7510.372036230825,8394.89903082389
22,7500.248010677143,8412.360192142662
23,7490.028715370346,8440.250929423222
24,7488.25290997359,8396.200492067239
25,7479.469921102779,8415.803244184424
