,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,3475517501.1708636,156710663.06796116
2,1161833765.4695864,1207767282.6407766
3,1181434051.908516,1275048811.4951456
4,1172048934.7581508,804641739.3398058
5,1183313473.323601,1814706381.3592234
6,1179465765.9017031,1250528325.9029126
7,1180241264.630657,1293804255.6893203
8,1174831981.7343066,959614277.9029126
9,1180816471.2019465,1321691041.2427185
10,1180475031.3888078,965475093.9029126
