,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,648826.2719403575,8091.654242358161
2,7782.43106589707,8087.177657340337
3,7777.805206180083,8080.634227567506
4,7769.876880927773,8071.877380963668
5,7761.369439863509,8060.950977510619
6,7749.4730794587485,8048.059128252048
7,7737.141444343537,8033.450652779885
8,7723.077950206712,8017.073310926123
9,7706.458093784198,7998.254001061893
10,7687.963067318215,7975.08759789328
11,7662.936791802194,7943.52903969774
12,7626.122562393604,7896.057453636984
13,7568.73439114938,7819.550912801502
14,7474.587728181238,7693.621870022375
15,7321.295237737871,7491.643722978611
16,7085.341598807606,7187.152818994615
17,6746.128758530673,6766.56684119956
18,6309.188342617644,6243.062341190079
19,5804.324582586029,5664.0869377654735
20,5294.21475207852,5110.33610164309
21,4852.940541545705,4666.086502223339
22,4535.933115918348,4383.93512762866
23,4356.223095845619,4258.878568186344
24,4279.188112963962,4221.419338781857
25,4254.173300182773,4212.5275964829525
26,4249.318223292726,4208.607683792855
27,4249.957694562029,4215.349504193056
28,4248.442095448535,4211.949051940325
29,4248.401371699827,4218.116677589787
30,4249.178492208399,4217.872300823916
31,4249.336945173805,4211.6571530832825
32,4248.971699874225,4220.201044175231
33,4249.196097169869,4209.584568357005
34,4249.313805012387,4216.1114021967915
35,4248.359744773301,4214.4609375
36,4249.966296719206,4209.247936952462
37,4248.576162137874,4208.60941262847
38,4248.2316108436435,4214.138441956159
39,4248.733213907086,4217.152144941311
40,4249.334743633344,4213.775787353516
41,4248.9249471820285,4222.015682183423
42,4249.215275745912,4221.882302886074
43,4249.03550441163,4218.683891518602
44,4248.332027687637,4213.1210199744955
45,4249.776950465102,4221.5262777087755
46,4248.700402167056,4221.6572499691865
47,4249.287789786372,4212.585677952442
48,4248.8195767532525,4215.89998915589
49,4248.743878435068,4212.793377033715
50,4249.455134647829,4213.612568679365
51,4249.007703016704,4214.9523848746585
52,4248.853680443671,4213.022070134728
53,4248.454208670887,4213.357447355696
54,4249.324869475012,4213.754071874526
55,4248.906452104739,4218.465700908772
56,4249.089928296753,4209.449160085141
57,4249.000059135229,4223.0580811732025
58,4249.169620499073,4209.014595698384
59,4248.787681965512,4217.564617860665
60,4249.144139627539,4212.880025326627
61,4248.763757371717,4214.920009576002
62,4249.222904902952,4209.89791781231
63,4248.524140710497,4212.848748957069
64,4249.034175412664,4213.297562386226
65,4249.106612268589,4214.442126524101
66,4248.809666496307,4220.521775328997
67,4249.018318859055,4217.907037235001
68,4248.3155928437345,4214.990086527704
69,4248.758750351487,4213.016861998919
70,4248.65939817911,4218.699027052204
71,4249.266300186573,4210.641243055029
72,4248.572293173942,4217.93240386074
73,4249.318042799657,4217.02364875275
74,4249.2724597500455,4212.848614146408
75,4249.029441031965,4210.656595767123
76,4248.430403060022,4218.595397652932
77,4248.795189289731,4218.666034291092
78,4249.286818923653,4208.7041916337985
79,4249.059624222929,4211.660203359659
80,4248.056671023833,4208.142925966134
81,4249.284348306025,4207.1406172965335
82,4248.706147546434,4207.475322538209
83,4249.128978922209,4212.569692370961
84,4249.00655261088,4214.3586019867835
85,4249.467860596653,4215.268836752883
86,4249.37953750076,4203.660022624488
87,4248.745299343005,4223.268828160554
88,4248.986688636156,4213.865397629229
89,4248.258729927271,4219.49656425402
90,4248.895483113449,4215.300929986158
91,4249.328601406706,4214.621367815629
92,4249.48545154616,4219.249386092992
93,4248.820551415825,4223.304346473472
94,4249.107229507387,4216.170467932247
95,4249.331679051024,4206.9076247724515
96,4249.069998299566,4215.174284703523
97,4248.583375210892,4211.955260341607
98,4248.878660446939,4211.357831343864
99,4248.945291838293,4217.5699791769375
100,4248.945042947851,4213.99242275201
