,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>
epoch,train_loss,val_loss
1,2144.5596226275525,4253.256742502338
2,1410.152151647805,2271.002700977215
3,1390.232557078379,1851.9431547004378
4,1387.6937095975336,1435.275124785459
5,1385.6960533505041,1384.1834658562177
6,1387.6992552233144,1590.7089645677843
7,1384.694393211334,1411.2520663302853
8,1388.311395114407,1488.1562568249583
9,1389.2102882170825,1293.978324340709
10,1382.4239403334452,1137.292761887
11,
