,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>
epoch,train_loss,val_loss
1,7395.215420104854,8989.342624920475
2,7234.803057885834,9256.034382062348
3,7170.815565525811,9013.051048758689
4,7134.163459975552,9236.664900041069
5,7092.524159970894,9996.383945443064
6,7054.502815711642,9717.164020363301
7,7018.540649636846,9602.273045510008
8,6989.736334392633,14387.538637868904
9,6958.556384662016,9260.968448514888
10,6929.154638297599,10120.54584546989
11,6834.049915277054,9625.423484948296
12,6793.113580150723,9768.126257572736
13,6761.075354320258,9050.350005370945
14,6728.594477936507,9299.262174686883
15,6691.453313177499,9003.076331816412
16,6654.439687062157,9746.994857097245
17,6613.525443186971,9151.966999398217
18,6573.192631587014,9185.45069694693
19,6531.023837915577,9205.417789965768
20,6487.220444548027,9451.201853628978
21,6362.571555006169,9283.2581528577
22,6325.886972188108,9321.476754192305
23,6298.605138793307,9426.397219393326
24,6269.880260726979,9217.33962831871
25,6243.93827809242,9171.629978213547
