,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,681511.4635187883,2612.2780403211277
2,20528.65133465125,30154.233095039443
3,61106.41788634066,7801.001887941823
4,7890.498461534077,7736.306650106189
5,7818.557629062044,7643.621305891611
6,7719.095214368768,7519.222819800516
7,7588.279619862597,7361.07077470798
8,7427.421220950116,7170.133501071375
9,7236.5252395808,6948.5128019758795
10,7020.152319525931,6701.291256210179
11,6782.151370987354,6434.723789252123
12,6528.324609659989,6156.040508381371
13,6262.3927139697835,5871.448292556318
14,5991.239070194704,5588.9946697938785
15,5720.008239508603,5316.989470546685
16,5459.011518307697,5064.242100391573
17,5217.846219430174,4843.0412991718185
18,5012.172217936832,4664.9219149987675
19,4853.428844644865,4541.281499177507
20,4748.759283993495,4472.259215123445
21,4694.462721768984,4444.81096819535
22,4673.862608913318,4441.1531425402
23,4669.713358244543,4442.387624499867
24,4668.655969998252,4442.1674407662695
25,4668.507802525383,4443.603227337588
26,4668.438848473219,4442.292409952404
27,4668.833481369315,4438.454373257831
28,4669.034149288667,4444.453130925744
29,4668.227728342732,4444.024272140948
30,4668.260688752052,4439.8396082017025
31,4668.368772989117,4442.389959242738
32,4668.82201198474,4444.391513268924
33,4668.960400533119,4442.660402168348
34,4668.659156413394,4443.689662007452
35,4669.068764771932,4443.339297396466
36,4668.467199659533,4442.494743865671
37,4668.658081529669,4444.086165937405
38,4668.753260274805,4443.524717460558
39,4668.552714425766,4439.784478048677
40,4668.971360974739,4444.248767741676
41,4667.702432714083,4440.471405029297
42,4669.021037179672,4438.156556657217
43,4668.206132347018,4439.993355760296
44,4668.947049508299,4441.119693200565
45,4668.763955676602,4445.190391170168
46,4669.225439405627,4442.816562689623
47,4669.301109462396,4442.42616079386
48,4669.088379143741,4442.4697025632395
49,4668.69276588529,4437.652698405738
50,4668.842219371276,4442.2081144758795
51,4668.627331210481,4440.429065296951
52,4669.075822288424,4438.613128662109
53,4669.556022673729,4440.3966547401205
54,4668.607726338309,4439.546218427639
55,4668.4059362745475,4441.844910853118
56,4668.828392652222,4439.545815180806
57,4668.746742337594,4443.115453034929
58,4668.1841539909865,4441.311400182039
59,4668.259182109907,4436.895653289499
60,4668.180464095179,4440.380885151983
61,4668.264404296875,4444.10732884083
62,4668.702516073383,4442.734562846063
63,4668.212501852428,4442.06099960179
64,4667.9648425625455,4444.119337359678
65,4668.570120369878,4443.27283100017
66,4668.466212884925,4442.7139738508795
67,4668.783579548045,4438.731874632604
68,4668.52241510176,4441.846223997838
69,4668.187066816634,4444.547632606284
70,4668.984384024653,4442.396907473073
71,4668.889750796069,4441.576341054972
72,4668.57801979154,4438.379058245317
73,4668.710025297529,4437.525127225709
74,4668.819438771051,4440.895508108787
75,4668.530883314081,4440.8867421566865
76,4668.344856944993,4440.750063998028
77,4668.131647607232,4443.828624836449
78,4668.293034297483,4440.709987603345
79,4668.529281913075,4443.656780946602
80,4668.084218778499,4440.632999160915
81,4668.036209522054,4440.290619192771
82,4668.767224976061,4444.4145427814965
83,4668.783543924414,4445.555734578846
84,4668.4640348560615,4443.197958936969
85,4668.997581392875,4441.527990248597
86,4667.997258167787,4444.899121627067
87,4668.5536665267055,4444.0179443359375
88,4669.15438593408,4442.330651736954
89,4668.684615435767,4443.595933043841
90,4668.7937500949965,4441.246960686249
91,4668.376784031493,4441.201181948763
92,4668.318579291556,4443.2926686111
93,4669.047173526036,4440.111884256011
94,4668.677810609573,4439.999870818796
95,4668.470160458339,4442.242883478553
96,4668.481551945905,4439.2338126469585
97,4668.3971951852045,4441.442572139999
98,4668.711629310935,4442.051923140739
99,4668.619921495015,4442.905117590451
100,4668.251859791084,4442.728894279999
