,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>
epoch,train_loss,val_loss
1,7452.121167209029,8498.712879200613
2,7285.866371816637,8601.179592692428
3,7229.181887587545,8422.70121059922
4,7202.781987887488,8408.799444745138
5,7128.04802408577,9075.943398321773
6,7063.73593198686,8675.552741941801
7,7022.116680950532,9031.127742446255
8,6983.300256372905,8634.96120040926
9,6948.016588611373,8836.069989575619
10,6916.343441311671,9093.562260755542
11,6835.253955574189,8985.845829089989
12,6799.862874462825,9012.719334127403
13,6770.034461790373,9034.975760270672
14,6742.794564174379,9126.27632675704
15,6713.445337689348,8989.907959652033
16,6685.590279751472,9130.233138718166
17,6653.321482260046,9000.86353540551
18,6618.072969486076,9155.72556279199
19,6583.743051690681,8946.062846589182
20,6544.7672146765735,8950.10548210318
21,6436.823543746768,9067.360494886623
22,6400.314787403687,8931.52366494915
23,6375.660866646048,9127.622663638758
24,6349.364304567256,8959.951196652566
25,6324.206709031308,9015.36933291078
