,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,975362.3239784705,1872482.9454545456
2,20756.861746906365,7942.619671815814
3,7980.161502884543,7893.12910600142
4,7926.639580125647,7823.996749230587
5,7856.134916505094,7736.104794034091
6,7768.981574808014,7629.639139441288
7,7665.462777167922,7505.286656605113
8,7546.603076053072,7364.529287997159
9,7414.133171285736,7209.502269767992
10,7269.780714197461,7042.068283913352
11,7114.883402952022,6864.003940281724
12,6950.726813768819,6677.636119495739
13,6778.468255184573,6484.516759883996
14,6599.306470142374,6286.928733132102
15,6414.627062423966,6087.31620649858
16,6225.645329607664,5886.85761570786
17,6033.535143181645,5687.192291074811
18,5839.912358267754,5490.4422977331915
19,5647.393027201186,5299.524570904356
20,5459.45035450882,5117.933211263021
21,5280.5869110924195,4949.742038056344
22,5116.459339893648,4801.552650775331
23,4973.566725830672,4678.440446333451
24,4858.353690265739,4587.6849809126425
25,4774.786534070388,4528.442897727273
26,4722.199976120552,4497.622052186908
27,4694.6588669380135,4485.371735543916
28,4683.305011535793,4484.472595954664
29,4679.8404808322875,4484.51767319188
30,4679.145861549099,4485.911884839607
31,4679.05784825977,4487.518422259706
32,4679.056786455957,4485.427497632576
33,4679.029439735877,4485.418169981061
34,4679.042169501312,4489.096893495502
35,4679.088586217876,4488.145532226563
36,4679.094506776536,4487.299482495857
37,4679.063846337534,4486.001195919152
38,4679.047225172502,4490.201616506865
39,4679.042152571852,4483.17861772017
40,4679.073031905794,4487.850452769886
41,4679.057854793948,4486.029083066998
42,4679.047524556627,4482.368178119082
43,4679.116228460975,4484.622761304451
44,4679.0838076552045,4487.422863769531
45,4679.070326756387,4485.061247854522
46,4679.076903999867,4485.209518155185
47,4679.084164361884,4488.8959923946495
48,4679.095087130285,4487.753746448863
49,4679.066601384296,4483.869997706558
50,4679.083327987189,4483.262157833215
51,4679.072734303718,4486.613583466501
52,4679.075299265321,4484.5218790690105
53,4679.094029781592,4487.594227553859
54,4679.093605357075,4485.221903483073
55,4679.089431205805,4485.087480394768
56,4679.051447142069,4487.014300352154
57,4679.04539174175,4484.789393569484
58,4679.118348207497,4487.455685517282
59,4679.044546753821,4485.188683342211
60,4679.091113459454,4485.703644723603
61,4679.057887761843,4487.0270008433945
62,4679.078564571928,4487.8151348692
63,4679.048206487131,4492.197983620384
64,4679.115826609071,4489.311096191406
65,4679.095950829722,4486.938705166904
66,4679.0589367943085,4489.795748623935
67,4679.053242852798,4483.755865663471
68,4679.081742261158,4484.653605883049
69,4679.0494069937085,4484.516164698745
70,4679.08404555866,4483.049827991832
71,4679.106077616522,4488.136206424598
72,4679.074333395111,4485.914111328125
73,4679.074355967724,4486.097973262902
74,4679.048055904045,4490.162042421283
75,4679.105676655642,4488.422109153054
76,4679.0995262127435,4488.191521661932
77,4679.090801600993,4484.390352376302
78,4679.082795748745,4484.897641823509
79,4679.077422278931,4485.878918457031
80,4679.085160229908,4486.674073375355
81,4679.079265213941,4487.029450757575
82,4679.053672326452,4485.988637843277
83,4679.075814574304,4483.50791348544
84,4679.095601251235,4487.689382472183
85,4679.104361206946,4487.4018210671165
86,4679.069462462933,4488.764993563565
87,4679.084312568906,4489.8529877633755
88,4679.083612223902,4488.501111949574
89,4679.075917933109,4485.515226606889
90,4679.0688895343865,4489.826384573272
91,4679.07613979813,4490.138532418916
92,4679.0906278512775,4488.305142859256
93,4679.097191729395,4489.441134366122
94,4679.10729475555,4491.524043412642
95,4679.097348252642,4486.8635597922585
96,4679.048806740419,4483.850973603219
97,4679.060314911705,4482.789569646662
98,4679.083851909405,4485.638750295928
99,4679.0947538872415,4488.4085408528645
100,4679.075679732645,4484.98759765625
