,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>,<module 'loss.CompositionalLoss' from '/share/temp/students/jonah/ma-jonah/pipeline/loss/CompositionalLoss.py'>
epoch,train_loss,val_loss
1,3902.3602869702395,4085.6372899693292
2,3827.2122256321577,3759.7223629251653
3,3824.4660425758198,3991.8935780555635
4,413663.72592891956,3769.9175483474105
5,3827.318718887591,3675.6383946481646
6,3826.620688789647,3911.676898985277
7,3830.0178894867267,3828.702016092658
8,3829.1569033190053,3679.425323013403
9,3827.806737669339,4106.002448008655
10,3821.5460559600374,3830.5316878359067
11,3731.5751903964187,3729.366738091338
12,3730.517878258456,3702.842616982751
13,3730.061233715443,3808.9496265412536
14,3731.439445045398,3722.2798393108096
15,3731.1822105636998,3713.041744411843
16,3730.882374820229,3700.6858396805446
17,3730.078000226585,3713.0377369002344
18,3730.278131407243,
