,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,6614.517531791743,5552.4646404970035
2,5357.744404011747,4759.237561568473
3,4839.678788516006,4489.834341401035
4,4570.5711674079985,3979.1491431078866
5,3609.3973001967383,3120.560348140383
6,2665.6965715171646,2351.1406741466335
7,1842.1547191016575,1726.4584578727056
8,1203.779673718826,1321.4037521695627
9,765.5501484297778,1020.436349313236
10,502.5819017693364,880.0758905873715
11,364.4997074841873,842.0554331807257
12,300.3675467683741,788.5838737672973
13,272.58900203658425,780.0224391974292
14,259.4914296059713,791.9647769742799
15,251.58132391788084,769.5744603536662
16,244.0506846184278,787.9205509852437
17,230.1038280069393,783.3051809199806
18,214.39978345884893,750.9438194163795
19,205.16783505924718,758.6297668345924
20,199.04397449725445,733.6256194438749
21,194.35995565818175,730.8877194228681
22,190.41962920325807,723.4515484837652
23,186.77757503017602,732.3242366198198
24,183.5524718644265,737.9934667892826
25,180.4320750252754,707.6879533332528
26,177.44393861311195,703.7004709660429
27,174.7719398350031,704.1028750614055
28,171.85878480971584,700.0210280279512
29,169.5080581665039,706.6563626354181
30,167.20541103762142,706.9177092857731
31,164.7708954358623,716.3509707311982
32,162.56236819710466,705.2806291024662
33,160.37994250740738,705.1773450212571
34,158.24761755541874,691.0783263363885
35,156.12678683018743,696.4524007167631
36,154.03071553399673,699.0488125930713
37,152.035518527437,690.2686244677571
38,149.92918637500773,695.7126746409148
39,147.95686359266296,699.3123443242415
40,145.8050103032096,704.8703049872686
41,143.72181290303993,699.106404804489
42,141.43461673857232,703.7575489803426
43,139.35320509193588,684.7287314146467
44,137.16902985398787,700.4475022427087
45,134.8565469468017,707.44419417335
46,132.41087150109655,696.7278570064063
47,130.1945252337305,699.7293172808527
48,128.32993426543374,703.1338714025553
49,125.7492202313277,700.6028181372337
50,123.57303507449853,685.8899375674794
51,121.52207012501366,701.8199846582505
52,119.54673462656582,709.2103123201907
53,117.13316047093004,695.6710088276169
54,115.16873370725163,709.3874768840457
55,113.25818756920287,707.5478410489351
56,111.37014224384242,700.3718755823894
57,109.61859143296587,706.7818855267127
58,107.716797363207,706.3180955683143
59,105.89273464639112,695.0095569740222
60,104.38146261136318,709.129878382081
61,102.57891902134656,702.5501222517884
62,101.01462313798223,705.651343915069
63,99.34912840942977,699.1050989326922
64,97.76223883710058,703.7779150703578
65,96.44960507952094,701.5072105324384
66,94.8586335713556,712.3479391348014
67,93.30463728336233,697.2385694216756
68,92.0022879291915,711.9457923000299
69,90.51115381282611,700.1248968828072
70,88.95220913852218,695.794573816281
71,87.6808787993271,699.4666270793062
72,86.2902737267116,702.9215721459065
73,84.8486502635798,691.9011938178423
74,83.57944923642198,702.2714557231051
75,82.1927470074953,692.026489595765
76,81.06086193372444,702.3289841008418
77,79.66318749754969,698.6259055045044
78,78.49929354962352,716.7691891031358
79,77.2727997624381,689.9396844280576
80,75.75743571186298,702.6749482062256
81,74.82475849068078,710.486962998955
82,73.58396873381307,701.2967580313822
83,72.39968747698188,683.3796746615068
84,71.22285986294712,699.827860772031
85,70.15603383846236,686.6516640510374
86,68.93058592710472,691.7872132815204
87,67.9788513981803,694.2102289454451
88,66.90264755211898,703.7676371741063
89,65.91878374382817,704.7051941792942
90,64.81676754823856,696.8265491550409
91,63.90695707594971,702.5222402799477
92,62.84623639090508,696.4217002276079
93,62.073923730966236,699.0049394056635
94,61.09410360480167,705.7104740906688
95,60.11275823087298,698.5111376174445
96,59.373166815207824,697.5408302626563
97,58.42236593297508,695.1167660361355
98,57.782474724799755,701.3622887458616
99,56.90526168247789,692.2547958799936
100,56.04162251177785,702.2311492244016
