,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,4886.37417966374,4482.15615552537
2,4679.77578638824,4476.07359364982
3,4679.973234376188,4461.033280300152
4,4680.177047766618,4465.767078712718
5,4680.235454253037,4472.77180286164
6,4680.057224839853,4475.33879580976
7,4680.295951007926,4484.812767191136
8,4679.973532646532,4483.337047217465
9,4679.78954120274,4472.275553277198
10,4680.0200614836385,4497.896405159159
11,4679.9741181236695,4471.796568061805
12,4680.142079596972,4491.206829592812
13,4679.6696066751965,4484.27616497376
14,4680.063956156264,4474.716955816854
15,4680.019133184948,4507.250984168705
16,4680.081307441359,4473.673514183532
17,4679.693451967262,4484.257718952956
18,4679.032688113025,4476.038160469032
19,4676.972911825435,4449.945514342705
20,4673.32615383176,4472.527630142165
21,4670.493944748185,4452.779009648007
22,4669.621257772701,4445.734201726942
23,4669.681531771546,4443.483066825519
24,4668.981079547075,4441.487621318968
25,4668.582295809929,4438.087696481259
26,4668.304703835443,4441.985127504111
27,4668.26774689983,4436.390845069769
28,4667.8701033023735,4435.804591216577
29,4667.827975530694,4439.952440070526
30,4667.3352542329585,4433.549353741585
31,4667.059499698834,4435.418828807703
32,4667.505667433542,4435.9525528185995
33,4666.740539105269,4432.970408523699
34,4666.265458749739,4429.739352843681
35,4665.845550611361,4431.102190522075
36,4665.71925855205,4431.688340346502
37,4664.385234080962,4438.912512179204
38,4663.390084816591,4434.180992196034
39,4662.508276500841,4433.17599997477
40,4661.13241005408,4428.072767217109
41,4658.710198469696,4430.518623653516
42,4656.461744693654,4429.7821400187295
43,4654.010995089863,4429.468671943641
44,4651.341938250836,4427.629698825825
45,4645.896320278047,4418.745703978379
46,4639.625047669793,4424.038192192472
47,4632.402509777506,4426.620330856927
48,4622.668902691844,4416.24158294585
49,4609.201593403689,4426.175148126202
50,4594.799673261434,4444.415263677441
51,4577.231703561008,4432.501600595955
52,4556.367412260849,4440.020033120384
53,4531.090265278689,4444.5291568559
54,4506.86496870129,4436.732669725969
55,4477.40621242848,4456.346167381774
56,4443.13747641756,4475.709688969296
57,4408.069537160461,4506.389501368746
58,4371.295426491693,4495.783579678521
59,4330.418994615838,4523.116341866258
60,4276.310064311155,4541.741735301844
61,4228.967023046637,4541.960519065973
62,4181.508215614189,4558.0408542250425
63,4128.210990441687,4604.80118692972
64,4080.058848063151,4615.388322175093
65,4023.109530557971,4698.716268753933
66,3963.3770304213476,4711.159254729204
67,3909.583591321959,4662.812076417871
68,3841.9839938644077,4732.525157893682
69,3794.25276993429,4739.888585887781
70,3725.083017316758,4806.894279410411
71,3612.339284780832,4822.490608424039
72,3583.8824378614586,4843.117433124762
73,3577.3414093537344,4837.05556035839
74,3567.056367191955,4849.086025435149
75,3552.6337058631175,4864.503418849957
76,3543.2628741484777,4866.515252945271
77,3535.131981211567,4873.199503611649
78,3522.2868655313832,4885.248096547229
79,3515.9230037048787,4888.47753836681
80,3509.7453161829,4898.42228861058
81,3502.2839979185674,4893.359638434413
82,3492.568761895173,4911.973696027483
83,3492.934042454926,4908.2260187027305
84,3472.688008811932,4923.372252212107
85,3469.712052542508,4926.880231584822
86,3459.6932728342767,4928.2462961492565
87,3456.693768020964,4920.235894014771
88,3442.0130234321537,4930.474225354412
89,3436.3007981794594,4942.610813453929
90,3431.5318485454923,4942.201864178782
91,3425.603033432415,4938.5565854336355
92,3410.7361527417406,4947.5114425149
93,3415.060183003001,4946.543564863118
94,3401.3588918792652,4976.570383413947
95,3388.6314646774254,4969.613467462882
96,3384.597488180564,4967.887192746426
97,3373.104452648302,4978.262780604029
98,3368.0271302754572,4984.508260384881
99,3360.48958652617,4991.523439726207
100,3354.0639572329183,4981.941673255619
