,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,4505.972956450896,4821.499386611494
2,3700.3920913807665,4344.567991941878
3,3322.8991497216143,4251.609019788723
4,3084.5310089705345,4202.783388378551
5,2896.579835541811,4173.7584995714205
