,L1Loss(),L1Loss()
epoch,train_loss,val_loss
1,9.915445115244552,13.798949008580582
2,5.8551169684629745,11.616129796217365
3,4.902703535079608,10.328936845435447
4,4.333422432982554,9.851425321585355
5,3.9692799451070075,9.648326026563838
6,3.7302312934278268,8.921259710362023
7,3.5473044123045065,9.109208929651018
8,3.4292548574051263,9.770836225616574
9,3.3220712298792288,8.793718733638299
10,3.2231327575740334,8.846287222518562
11,2.718835309218542,8.242808006882704
12,2.6603633398658126,8.130425710512924
13,2.633198824024125,8.170390708690645
14,2.61094718774474,8.16442028023993
15,2.5928230243220005,8.032208619038771
16,2.57514376187574,8.00755078705275
17,2.5605144289842645,8.187586868146168
18,2.54576830473647,8.131820763508552
19,2.5323010522136578,8.20362752185191
20,2.5183042568372307,8.082019296669735
21,2.4614100238458563,8.107351950963773
22,2.4564999098767037,8.116770314214005
23,2.452708084143953,8.186729146404781
24,2.450901330202684,8.115757488997936
25,2.448623295077037,8.069241411107827
26,2.4465412688068207,8.09774424395131
27,2.4459072709417153,8.071287020348155
28,2.4442300925196516,8.061152199795455
29,2.4423540613014256,8.059352189365834
30,2.440236488718203,8.10890320514843
31,2.4392773884935877,8.049660465377546
32,2.4370082839045275,8.125165906295846
33,2.436554372916185,8.11805160603093
34,2.4350475455225347,8.03373940606423
35,2.434289457886769,8.134327271994541
36,2.4321760540389135,8.093156062136737
37,2.430086168955387,8.04530532814311
38,2.428957376402941,8.099963260508352
39,2.427583869598776,8.072880465203381
40,2.426710043993146,8.06817501604068
41,2.425381480001275,8.029940925681167
42,2.4238471435882674,8.100195317926177
43,2.4223072738350995,8.03116891987959
44,2.421256279035966,8.11941695446955
45,2.4197392019133077,8.128009398361717
46,2.4186768321308403,8.084080939450839
47,2.4170973390279165,8.140860102072345
48,2.4162136450027343,8.033903557346498
49,2.4141910027335025,8.044985845164302
50,2.412718819779975,8.061534132485837
