,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,440727.0016481867,8593.885074948801
2,8717.087665483645,8591.955604331008
3,8713.762464946347,8588.992745705022
4,8709.269987707472,8584.819254162243
5,8705.510201658257,8579.459406287924
6,8700.03898982779,8573.104379598377
7,8693.053811158652,8565.968640966323
8,8685.967784362081,8558.180863167476
9,8677.385244406614,8549.67944691482
10,8669.167283351318,8540.004497639184
11,8658.367854849374,8527.959920642445
12,8643.944904965649,8510.908812291415
13,8622.056703322593,8483.448128413229
14,8584.73691852733,8435.39834861385
15,8519.342732589068,8349.574195047027
16,8402.05080024927,8202.201984886984
17,8211.167449119954,7971.294579367036
18,7930.372877306511,7653.866936248483
19,7573.434733231244,7282.6464108957825
20,7194.936068879955,6925.179977861423
21,6864.205613904426,6651.1603257262595
22,6633.506948508178,6488.846587245904
23,6508.8157047019395,6418.516586155567
24,6458.547773665491,6398.718956215867
25,6445.47651927666,6396.09785179953
26,6443.148693040187,6395.501252702139
27,6442.6163648315905,6393.4370200147905
28,6442.921277472945,6394.203422472315
29,6442.952611069735,6395.375081775258
30,6443.754466253496,6393.341936722542
31,6442.796881174763,6392.809243211468
32,6443.52242863874,6393.728912649803
33,6442.04643516689,6395.764725472163
34,6443.3553215056545,6395.675217119236
35,6442.534369205223,6394.234591882206
36,6443.07356849997,6394.247460226411
37,6442.801721713886,6393.323672396466
38,6443.257838623997,6393.309859488774
39,6442.703822748206,6393.892968038911
40,6443.761928216956,6392.865132452215
41,6442.884139124058,6391.8355712890625
42,6442.994635081013,6395.792264771693
43,6442.597144694644,6393.343477415807
44,6443.883994729603,6394.731464274879
45,6442.974170966835,6394.795810736498
46,6443.480143862475,6394.792857346026
47,6443.4215885859985,6392.893939860816
48,6443.398295480453,6393.296157985058
49,6443.15984323702,6394.513853202746
50,6442.66495546571,6393.861392123028
51,6442.71967811436,6392.995376735058
52,6443.285343392814,6394.773085510847
53,6443.018521913758,6394.329639619994
54,6443.177590930508,6392.039602927791
55,6442.992293420933,6395.481227245145
56,6443.036979704979,6393.8932204755765
57,6443.085774106275,6395.595130698195
58,6442.992073979359,6394.3329023342685
59,6443.227678707138,6394.608628356341
60,6443.010615842351,6394.191549652988
61,6443.2938028179715,6394.659547083586
62,6442.591821574051,6392.909237759784
63,6443.4129410680625,6395.301367898589
64,6443.460961724069,6393.899948564548
65,6442.7192943290975,6394.2576086544295
66,6442.822078482186,6396.040759632889
67,6443.1236230278755,6395.045230013653
68,6442.925876246352,6394.427576750228
69,6443.335811154851,6393.335585510847
70,6443.2941334052775,6394.2123454566145
71,6443.247002390108,6392.582864409512
72,6443.156818553168,6393.938650779353
73,6443.3962962822225,6393.968704964351
74,6443.0470174945285,6394.016557712
75,6443.089722629651,6392.66962914328
76,6442.918666498206,6393.815865822209
77,6443.027893778879,6396.616970617794
78,6442.927880669382,6392.450694260088
79,6443.206263679474,6392.319644076153
80,6442.871349765169,6392.291607014184
81,6442.577687541799,6395.278927108617
82,6443.293444681724,6394.443586923544
83,6443.257158925097,6392.147373236498
84,6442.617115302773,6394.144719688637
85,6443.166911915582,6395.663125047406
86,6442.938509336242,6392.691887420358
87,6443.089804801496,6392.309699493704
88,6443.127581050888,6395.324958282767
89,6443.089384442637,6393.139969612788
90,6442.927428486746,6393.820407311893
91,6442.956766210177,6393.106362352093
92,6443.352046031432,6393.546944923772
93,6443.066820909077,6394.744428616125
94,6442.617003207077,6392.554870012895
95,6442.529686360043,6393.15193487371
96,6442.572864102019,6393.748971290959
97,6443.73248124772,6391.912961496891
98,6443.532559049732,6393.298856568568
99,6443.303650614816,6394.270408260012
100,6442.840748115273,6392.816670538153
